,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,assist,gol_fatto_subito,gol_su_rigore,assist_da_fermo
8841,23,djordjevic f,chievo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
3802,23,romagnoli a,milan,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7345,23,pjanic m,juventus,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
1696,23,criscito d,genoa,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10505,23,zapata d,atalanta,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4341,23,zukanovic e,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
3737,23,rogerio o,sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6784,23,maiello r,frosinone,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5469,23,de paul r,udinese,C,1.5,5.0,0.0,-0.5,0.0,-3.0,0.0,0.0,2018-19,,,,
10300,23,siligardi l,parma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10952,23,iachini,empoli,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9297,23,kouame c,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
11242,23,semplici,spal,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5818,23,emre can,juventus,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6771,23,magnanelli f,sassuolo,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5198,23,cataldi d,lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7074,23,nzonzi,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
3886,23,rugani d,juventus,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2346,23,ghoulam f,napoli,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
438,23,provedel i,empoli,P,4.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9274,23,kluivert j,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5394,23,cristante b,roma,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
8866,23,dybala p,juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5561,23,deiola a,cagliari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2533,23,hugo v,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1278,23,biraschi d,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6727,23,lulic s,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5910,23,freuler r,atalanta,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
8451,23,caicedo f,lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9379,23,lasagna k,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
8923,23,el shaarawy s,roma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10263,23,sau m,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5119,23,calhanoglu h,milan,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4142,23,toloi r,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
310,23,lafont a,fiorentina,P,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19,,,,
7442,23,pulgar e,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
97,23,cragno a,cagliari,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
8914,23,edera s,bologna,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10239,23,santander f,bologna,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4417,23,allan m,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5509,23,de roon m,atalanta,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1062,23,asamoah k,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1088,23,bani m,chievo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
861,23,aina o,torino,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4357,23,acquah a,empoli,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
3091,23,marcano i,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5176,23,cassata f,frosinone,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
8501,23,callejon j,napoli,A,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
7378,23,poli a,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5557,23,de rossi d,roma,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
894,23,alex sandro,juventus,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
2698,23,karsdorp r,roma,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6988,23,murgia a,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10283,23,schick p,roma,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
11043,23,maran,cagliari,0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7040,23,nainggolan r,inter,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
10849,23,gasperini,atalanta,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7394,23,praet d,sampdoria,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
8880,23,dzeko e,roma,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4074,23,skriniar m,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5892,23,fofana s,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1249,23,biraghi c,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
8987,23,farias d,empoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1210,23,bereszynski b,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
5237,23,chibsah r,frosinone,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2430,23,gosens r,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
8696,23,ciofani d,frosinone,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4208,23,veseli f,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7221,23,pasalic m,atalanta,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1124,23,barba f,chievo,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
4097,23,srna d,cagliari,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
